text,label
"Heavy damage to the truck , the car , and the entire downstairs attic after the river crested.",Medium Damage
"Water destroyed the electronics , the electronics , and the entire downstairs subfloor after the river crested.",Medium Damage
Assessment indicates cosmetic dampness in the first floor,Low Damage
"I am reporting a catastrophic total failure of the building. Every single item, including the clothing and car have been obliterated.",Destroyed
thankful a tiny bit of water in the yard today,Low Damage
omg our building is completely gone,Destroyed
"I am reporting a 100 percent casualty of the residence. Every single item, including the HVAC and the couch have been obliterated.",Destroyed
cant believe this my condo is under 10 feet of water send help,Destroyed
Status update: Absolutely no moisture recorded for the shop,No Damage
got lucky only a little mud in the street outside imo,Low Damage
Minor flooding hit the doormat and didn't touch the car inside the house.,Low Damage
Initial visual inspection: cosmetic seepage affecting the insulation,Low Damage
We checked the cottage as well as the vehicle survived the storm and remain completely dry.,No Damage
"The flood ruined our car , the laptop , and the entire downstairs subfloor due to the standing water.",Medium Damage
Happy to report the home as well as the vehicle are completely safe and remain completely dry.,No Damage
"Heavy damage to the truck , the sofa , and the entire downstairs flooring because of the storm surge.",Medium Damage
"The flood ruined our vehicle , the sofa , and the entire downstairs attic due to the standing water.",Medium Damage
We checked the unit as well as the truck survived the storm and remain completely dry.,No Damage
"We lost the electronics , the TV , and the entire downstairs roof from the sewage backup.",Medium Damage
Happy to report the shop including the delicate car are completely safe and remain completely dry.,No Damage
blessed not a single drop inside the cottage !,No Damage
"We suffered a 100 percent casualty of the residence. Every single item, including the dryer and the water heater were washed away down the street.",Destroyed
"Water destroyed the mattress , the vehicle , and the entire downstairs drywall from the sewage backup.",Medium Damage
"Notice of 100 percent casualty of the residence. Every single item, including the washer and the couch were washed away down the street.",Destroyed
"The flood ruined our fridge , the vehicle , and the entire downstairs roof because of the storm surge.",Medium Damage
Initial visual inspection: slight dampness in the ground floor,Low Damage
"We suffered a total loss of property. The structure itself, along with the couch and the HVAC were washed away down the street.",Destroyed
We checked the property including the delicate mattress were not touched by water and remain completely dry.,No Damage
"Notice of 100 percent casualty of the residence. Every single item, including the truck and electronics are gone completely.",Destroyed
"Heavy damage to the furnace , the bed , and the entire downstairs basement from the sewage backup.",Medium Damage
Field report: negligible water accumulation near the insulation,Low Damage
Adjuster report: Severe water intrusion resulting in 100% destruction of the house,Destroyed
"We suffered a total loss of property. Every single item, including the bed and the car have been obliterated.",Destroyed
"Notice of 100 percent casualty of the residence. All furnishings, such as the vehicle and the dryer have been obliterated.",Destroyed
"Filing for a complete destruction event. Every single item, including the television and mattress are gone completely.",Destroyed
"The flood ruined our couch , the vehicle , and the entire downstairs flooring from the sewage backup.",Medium Damage
"Water destroyed the car , the TV , and the entire downstairs roof after the river crested.",Medium Damage
"We suffered a total loss of property. All furnishings, such as the truck and the couch are gone completely.",Destroyed
"Notice of complete destruction event. Every single item, including the mattress and vehicle have been obliterated.",Destroyed
"Notice of complete destruction event. Every single item, including the bed and television were washed away down the street.",Destroyed
"Filing for a catastrophic total failure of the building. All furnishings, such as the HVAC and the clothing were washed away down the street.",Destroyed
dodged a bullet completely dry near the house woohoo,No Damage
Happy to report the structure as well as the sofa were not touched by water with zero damage.,No Damage
"Notice of total loss of property. The structure itself, along with the television and truck are gone completely.",Destroyed
"Filing for a total loss of property. All furnishings, such as the laptop and vehicle have been obliterated.",Destroyed
The water only reached the doormat and didn't touch the couch upstairs.,Low Damage
Minor flooding hit the doormat but spared the sofa upstairs.,Low Damage
Happy to report the office as well as the television are completely safe with zero damage.,No Damage
"We suffered a catastrophic total failure of the building. Every single item, including the washer and washer have been obliterated.",Destroyed
"I am reporting a catastrophic total failure of the building. The structure itself, along with the furnace and the bed were washed away down the street.",Destroyed
Minor claim: minimal moisture intrusion in the insulation,Low Damage
"We suffered a 100 percent casualty of the residence. Every single item, including the vehicle and electronics are gone completely.",Destroyed
just an update found a small amount of wetness in the gardn easy fix,Low Damage
Assessment indicates cosmetic seepage affecting the ground floor,Low Damage
"Heavy damage to the car , the toys , and the entire downstairs attic from the sewage backup.",Medium Damage
"The flood ruined our TV , the laptop , and the entire downstairs insulation due to the standing water.",Medium Damage
Happy to report the office including the delicate fridge are completely safe and are in perfect condition.,No Damage
"The flood ruined our bed , the washer , and the entire downstairs bedrooms because of the storm surge.",Medium Damage
Structure remains standing but shows severe damage to flooring and insulation,Medium Damage
"The flood ruined our sofa , the washer , and the entire downstairs basement from the sewage backup.",Medium Damage
omg the building just washed away ...,Destroyed
We checked the store and all contents like the washer are completely safe and remain completely dry.,No Damage
"I am reporting a 100 percent casualty of the residence. Every single item, including the vehicle and vehicle have been obliterated.",Destroyed
safe and sound perfectly safe at our property !,No Damage
"Heavy damage to the fridge , the bed , and the entire downstairs basement from the sewage backup.",Medium Damage
"Heavy damage to the HVAC , the toys , and the entire downstairs walls from the sewage backup.",Medium Damage
Initial visual inspection: minimal moisture intrusion in the ground floor,Low Damage
I can confirm that the structure including the delicate electronics survived the storm and remain completely dry.,No Damage
Happy to report the apartment and all contents like the HVAC are completely safe with zero damage.,No Damage
Happy to report the condo as well as the HVAC are completely safe with zero damage.,No Damage
We checked the premises and all contents like the car survived the storm and remain completely dry.,No Damage
Minor flooding hit the doormat and didn't touch the furnace in the main living area.,Low Damage
we checked the house found a small amount of moisture near the garage easy fix,Low Damage
"Heavy damage to the HVAC , the couch , and the entire downstairs bedrooms because of the storm surge.",Medium Damage
I can confirm that the residence as well as the toys are completely safe with zero damage.,No Damage
I can confirm that the condo as well as the vehicle were not touched by water and remain completely dry.,No Damage
Thankfully just the lawn ornaments but spared the TV upstairs.,Low Damage
